amountOfNodes,mean(nano)
100,8815840.0
110,4091540.0
120,4567500.0
130,5549740.0
140,6966700.0
150,8001580.0
160,9198680.0
170,1.031934E7
180,1.22802E7
190,1.45991E7
200,2.239588E7
210,2.606174E7
220,2.78921E7
230,3.04153E7
240,3.47619E7
250,3.908108E7
260,4.374866E7
270,4.899874E7
280,5.334022E7
290,5.935424E7
300,6.229406E7
310,6.829336E7
320,7.532118E7
330,8.608464E7
340,8.684794E7
350,9.448004E7
360,1.0568136E8
370,1.0957098E8
380,1.1828106E8
390,1.9100814E8
400,2.1366096E8
410,2.1675732E8
420,2.3255386E8
430,2.41397E8
440,2.5938658E8
450,2.7814736E8
460,2.9679274E8
470,3.1030202E8
480,3.3948282E8
490,3.5737274E8
500,4.0772734E8
510,3.9624346E8
520,4.628895E8
530,5.1882002E8
540,5.8580114E8
550,5.8029186E8
560,5.9504904E8
570,6.3589544E8
580,6.656122E8
590,6.7894366E8
